id,tenant_id,user_id,role,created_at,updated_at
52a73b9a-7c5b-4350-8c72-7f438a3c6716,f136543f-bace-4e46-9908-d7c8e7e0982f,ca2341e3-e688-4717-899d-6abe657ec1e5,owner,2026-01-24 21:17:47.230214+00,2026-01-24 21:17:47.230214+00
afa2812b-9c1f-4f4d-b03d-caf36879e64b,f136543f-bace-4e46-9908-d7c8e7e0982f,4889e746-1562-48af-81c3-a5a5acc9e8bb,admin,2026-01-24 21:17:47.230214+00,2026-01-24 21:17:47.230214+00
